start,end,college,name,elected,vote_support,vote_object,vote_invalid,college_population,college_population_total,college_population_rate,college_vote_population,college_vote_rate,college_support_vote,college_support_rate,competitive,college_vote_invalid,college_english,college_english_ab
104-2,105-1,電資學院,林宗緯,1,25,3,15,3590,30521,0.11762393106385767,57,0.015877437325905294,108,0.23148148148148148,0,0,Electrical Engineering & Computer Science,EE & CS
104-2,105-1,電資學院,賈脈瑄,1,18,7,17,3590,30521,0.11762393106385767,57,0.015877437325905294,108,0.16666666666666666,0,0,Electrical Engineering & Computer Science,EE & CS
104-2,105-1,電資學院,羅啟仁,1,40,6,4,3590,30521,0.11762393106385767,57,0.015877437325905294,108,0.37037037037037035,0,0,Electrical Engineering & Computer Science,EE & CS
104-2,105-1,電資學院,陳佩君,NA,10,17,15,3590,30521,0.11762393106385767,57,0.015877437325905294,108,0.09259259259259259,0,0,Electrical Engineering & Computer Science,EE & CS
104-2,105-1,法學院,高運晅,1,54,NA,NA,1523,30521,0.049900068805085025,189,0.12409717662508207,184,0.29347826086956524,1,5,Law,Law
104-2,105-1,法學院,楊尚樺,NA,17,NA,NA,1523,30521,0.049900068805085025,189,0.12409717662508207,184,0.09239130434782608,1,5,Law,Law
104-2,105-1,法學院,林宇凡,NA,36,NA,NA,1523,30521,0.049900068805085025,189,0.12409717662508207,184,0.1956521739130435,1,5,Law,Law
104-2,105-1,法學院,蕭奕翎,1,17,NA,NA,1523,30521,0.049900068805085025,189,0.12409717662508207,184,0.09239130434782608,1,5,Law,Law
104-2,105-1,法學院,林承諭,NA,11,NA,NA,1523,30521,0.049900068805085025,189,0.12409717662508207,184,0.059782608695652176,1,5,Law,Law
104-2,105-1,法學院,吳振寧,1,49,NA,NA,1523,30521,0.049900068805085025,189,0.12409717662508207,184,0.266304347826087,1,5,Law,Law
104-2,105-1,生科學院,黃聖閔,1,3,2,3,1155,30521,0.03784279676288457,8,0.006926406926406926,3,1,0,0,Life Science,Life Sci
105-1,105-2,文學院,許哲榕,1,44,17,66,2963,29955,0.09891503922550493,127,0.042861964225447184,217,0.20276497695852536,0,0,Liberal Arts,LA
105-1,105-2,文學院,周安履,1,58,12,57,2963,29955,0.09891503922550493,127,0.042861964225447184,217,0.2672811059907834,0,0,Liberal Arts,LA
105-1,105-2,文學院,高浩凱,1,60,13,54,2963,29955,0.09891503922550493,127,0.042861964225447184,217,0.2764976958525346,0,0,Liberal Arts,LA
105-1,105-2,文學院,郭兆翊,1,55,21,51,2963,29955,0.09891503922550493,127,0.042861964225447184,217,0.2534562211981567,0,0,Liberal Arts,LA
105-1,105-2,理學院,徐翊宸,1,30,13,31,2833,29955,0.09457519612752462,74,0.02612072008471585,137,0.21897810218978103,0,0,Science,Sci
105-1,105-2,理學院,黃泊羲,1,33,10,31,2833,29955,0.09457519612752462,74,0.02612072008471585,137,0.24087591240875914,0,0,Science,Sci
105-1,105-2,理學院,許軒瑋,1,33,10,31,2833,29955,0.09457519612752462,74,0.02612072008471585,137,0.24087591240875914,0,0,Science,Sci
105-1,105-2,理學院,許皓雲,1,41,8,25,2833,29955,0.09457519612752462,74,0.02612072008471585,137,0.29927007299270075,0,0,Science,Sci
105-1,105-2,社科院,王亮中,1,170,62,128,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.2328767123287671,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,廖俊翔,1,100,73,187,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.136986301369863,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,蘇長慶,1,195,43,122,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.2671232876712329,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,劉哲銘,1,135,62,163,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.18493150684931506,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,吳欣陽,1,130,54,176,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.1780821917808219,0,0,Social Sciences,Soc Sci
105-1,105-2,醫學院,羅瑞恩,1,199,9,22,2912,29955,0.09721248539475881,230,0.07898351648351648,391,0.5089514066496164,0,0,Medicine,Med
105-1,105-2,醫學院,黃序立,1,192,12,26,2912,29955,0.09721248539475881,230,0.07898351648351648,391,0.49104859335038364,0,0,Medicine,Med
105-1,105-2,工學院,林冠廷,1,69,15,51,4664,29955,0.1557002169921549,135,0.028945111492281305,207,0.3333333333333333,0,0,Engineering,Engr
105-1,105-2,工學院,李欣庭,1,62,22,51,4664,29955,0.1557002169921549,135,0.028945111492281305,207,0.2995169082125604,0,0,Engineering,Engr
105-1,105-2,工學院,高章琛,1,76,33,26,4664,29955,0.1557002169921549,135,0.028945111492281305,207,0.3671497584541063,0,0,Engineering,Engr
105-1,105-2,生農學院,許予安,1,40,11,27,3662,29955,0.12225004172926056,78,0.0212998361551065,100,0.4,0,0,Bio-Resources & Agriculture,Bio & Agri
105-1,105-2,生農學院,徐培瑄,1,60,8,10,3662,29955,0.12225004172926056,78,0.0212998361551065,100,0.6,0,0,Bio-Resources & Agriculture,Bio & Agri
105-1,105-2,管理學院,林子期,1,26,8,5,2949,29955,0.09844767150726089,39,0.013224821973550356,44,0.5909090909090909,0,0,Management,Mgmt
105-1,105-2,管理學院,姚旺廷,1,18,7,14,2949,29955,0.09844767150726089,39,0.013224821973550356,44,0.4090909090909091,0,0,Management,Mgmt
105-1,105-2,公衛學院,劉又豪,NA,8,22,0,650,29955,0.02169921548990152,28,0.043076923076923075,8,1,0,0,Public Health,PH
105-1,105-2,電資學院,林昱嘉,1,39,8,1,3998,29955,0.13346686696711735,49,0.012256128064032016,39,1,0,0,Electrical Engineering & Computer Science,EE & CS
105-1,105-2,法學院,林彥廷,1,73,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.4319526627218935,1,9,Law,Law
105-1,105-2,法學院,楊子敬,1,41,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.24260355029585798,1,9,Law,Law
105-1,105-2,法學院,林宇凡,1,47,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.2781065088757396,1,9,Law,Law
105-1,105-2,法學院,范植芃,NA,8,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.047337278106508875,1,9,Law,Law
105-2,106-1,文學院,何放,1,22,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.12429378531073447,1,4,Liberal Arts,LA
105-2,106-1,文學院,劉昱辰,NA,6,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.03389830508474576,1,4,Liberal Arts,LA
105-2,106-1,文學院,解富舜,1,37,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.20903954802259886,1,4,Liberal Arts,LA
105-2,106-1,文學院,陳俊臣,NA,9,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.05084745762711865,1,4,Liberal Arts,LA
105-2,106-1,文學院,楊宇倫,1,17,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.096045197740113,1,4,Liberal Arts,LA
105-2,106-1,文學院,王琦堯,NA,6,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.03389830508474576,1,4,Liberal Arts,LA
105-2,106-1,文學院,楊量鈞,NA,9,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.05084745762711865,1,4,Liberal Arts,LA
